iter	Passed	Remaining
425	1210	1631
426	1211	1625
427	1212	1620
428	1213	1614
429	1214	1609
430	1214	1603
431	1215	1598
432	1217	1594
433	1218	1588
434	1219	1583
435	1220	1578
436	1221	1573
437	1222	1568
438	1223	1563
439	1224	1558
440	1224	1552
441	1225	1547
442	1226	1542
443	1227	1537
444	1228	1532
445	1229	1527
446	1230	1522
447	1231	1517
448	1232	1512
449	1233	1507
450	1234	1502
451	1235	1498
452	1236	1493
453	1237	1488
454	1238	1483
455	1239	1478
456	1240	1474
457	1242	1470
458	1243	1465
459	1245	1462
460	1247	1458
461	1249	1454
462	1251	1451
463	1253	1448
464	1254	1443
465	1256	1439
466	1258	1435
467	1259	1431
468	1260	1426
469	1260	1421
470	1262	1417
471	1264	1414
472	1265	1409
473	1266	1405
474	1269	1402
475	1270	1398
476	1271	1393
477	1272	1389
478	1273	1385
479	1286	1393
480	1287	1389
481	1288	1384
482	1291	1382
483	1293	1378
484	1294	1374
485	1296	1371
486	1297	1366
487	1299	1362
488	1300	1358
489	1301	1354
490	1304	1352
491	1306	1348
492	1307	1345
493	1310	1342
494	1311	1338
495	1313	1334
496	1314	1330
497	1316	1327
498	1318	1324
499	1320	1320
500	1321	1316
501	1323	1313
502	1324	1308
503	1327	1306
504	1330	1304
505	1332	1300
506	1334	1297
507	1335	1293
508	1336	1289
509	1337	1284
510	1338	1280
511	1339	1276
512	1342	1274
513	1343	1270
514	1344	1266
515	1346	1262
516	1347	1259
517	1348	1255
518	1350	1251
519	1351	1247
520	1354	1245
521	1355	1241
522	1357	1237
523	1359	1234
524	1360	1231
525	1362	1227
526	1363	1224
527	1364	1220
528	1366	1216
529	1367	1212
530	1368	1208
531	1369	1204
532	1370	1201
533	1371	1197
534	1372	1193
535	1373	1189
536	1374	1185
537	1375	1181
538	1376	1177
539	1378	1173
540	1379	1170
541	1380	1166
542	1381	1162
543	1383	1159
544	1384	1155
545	1385	1151
546	1386	1148
547	1387	1144
548	1388	1140
549	1391	1138
550	1392	1134
551	1393	1130
552	1394	1127
553	1396	1123
554	1397	1120
555	1398	1117
556	1399	1113
557	1401	1109
558	1403	1107
559	1404	1103
560	1405	1099
561	1407	1096
562	1408	1092
563	1409	1089
564	1410	1085
565	1411	1082
566	1412	1078
567	1415	1076
568	1416	1072
569	1417	1069
570	1418	1065
571	1419	1062
572	1420	1058
573	1421	1055
574	1422	1051
575	1423	1047
576	1424	1044
577	1426	1041
578	1427	1037
579	1428	1034
580	1429	1031
581	1430	1027
582	1432	1024
583	1433	1021
584	1434	1017
585	1435	1014
586	1437	1011
587	1438	1007
588	1439	1004
589	1440	1000
590	1441	997
591	1442	994
592	1443	991
593	1444	987
594	1445	984
595	1446	980
596	1447	977
597	1449	974
598	1450	971
599	1451	967
600	1452	964
601	1455	962
602	1456	959
603	1457	955
604	1458	952
605	1459	948
606	1460	945
607	1462	942
608	1463	939
609	1465	937
610	1467	934
611	1468	931
612	1469	927
613	1471	924
614	1472	921
